,kiRa,zukiRa,sAkukiRa,dukiRa,RukiRa,kiRa,zukiRa,kiRa,wOkukiRa,arukiRa,lkiRa,LkiRa,lkiRa,LkiRa,ukiRa,lkiRa,kiRa,RkiRa,dkiRa,ukiRa,NukiRa,kANkiRa,kiRa,RkiRa,kkinRa,kkiRa,kiRa,kiRa,ukiRa,RukiRa,ukiRa,ukiRa
,yAtha,zAtha,sAkAtha,dAtha,RAtha,Atha,zuwtha,yAtha,wOkAtha,arAtha,lAtha,LAtha,llAtha,LlAtha,Atha,llAtha,kAtha,llAtha,dkAtha,Atha,NAtha,kANAtha,nAtha,RkAtha,kkAtha,kkAtha,Atha,Atha,Atha,Atha,Atha,Atha
,thavan,zuthavan,seththavan,dAthavan,RRavan,wthavan,zuwthavan,wthavan,wowthavan,arAthavan,nRavan,Ndavan,nRavan,Ndavan,iyavan,nnavan,navan,RRavan,ddavan,davan,davan,kaNdavan,Ravan,nRavan,ththavan,wthavan,Ravan,Ravan,iyavan,Ravan,ukiRavan,uwthavan
,thavaL,zuthavaL,seththavaL,dAthavaL,RRavaL,wthavaL,zuwthavaL,wthavaL,wowthavaL,arAthavaL,nRavaL,NdavaL,nRavaL,NdaL,iyavaL,nnavaL,navaL,RRavaL,ddavaL,davaL,davaL,kaNdavaL,RavaL,nRavaL,ththavaL,wthavaL,RavaL,RavaL,iyavaL,RavaL,ukiRavaL,uwthavaL
,thavar,zuthavar,seththavar,dAthavar,RRavar,wthavar,zuwthavar,wthavar,wowthavar,arAthavar,nRavar,Ndavar,nRavar,Ndavar,iyavar,nnavar,navar,RRavar,ddavar,davar,davar,kaNdavar,Ravar,nRavar,ththavar,wthavar,Ravar,Ravar,iyavar,Ravar,ukiRavar,uwthavar
,kiRavan,zukiRavan,sAkukiRavan,dukiRavan,RukiRavan,kiRavan,zukiRavan,kiRavan,wOkukiRavan,arukiRavan,lkiRavan,LkiRavan,lkiRavan,LkiRavan,ukiRavan,lkiRavan,kiRavan,RkiRavan,dkiRavan,kiRavan,NukiRavan,kANkiRavan,kiRavan,RkiRavan,kkinRavan,kkiRavan,kiRavan,kiRavan,ukiRavan,RukiRavan,ukiRavan,ukiRavan
,kiRavaL,zukiRavaL,sAkukiRavaL,dukiRavaL,RukiRavaL,kiRavaL,zukiRavaL,kiRavaL,wOkukiRavaL,arukiRavaL,lkiRavaL,LkiRavaL,lkiRavaL,LkiRavaL,ukiRavaL,lkiRavaL,kiRavaL,RkiRavaL,dkiRavaL,kiRavaL,NukiRavaL,kANkiRavaL,kiRavaL,RkiRavaL,kkinRavaL,kkiRavaL,kiRavaL,kiRavaL,ukiRavaL,RukiRavaL,ukiRavaL,ukiRavaL
,kiRavar,zukiRavar,sAkukiRavar,dukiRavar,RukiRavar,kiRavar,zukiRavar,kiRavar,wOkukiRavar,arukiRavar,lkiRavar,LkiRavar,lkiRavar,LkiRavar,ukiRavar,lkiRavar,kiRavar,RkiRavar,dkiRavar,kiRavar,NukiRavar,kANkiRavar,kiRavar,RkiRavar,kkinRavar,kkiRavar,kiRavar,kiRavar,ukiRavar,RukiRavar,ukiRavar,ukiRavar
,kiRathu,zukiRathu,sAkukiRathu,dukiRathu,RukiRathu,kiRathu,zukiRathu,kiRathu,wOkukiRathu,arukiRathu,lkiRathu,LkiRathu,lkiRathu,LkiRathu,ukiRathu,lkiRathu,kiRathu,RkiRathu,dkiRathu,kiRathu,NukiRathu,kANkiRathu,kiRathu,RkiRathu,kkinRathu,kkiRathu,kiRathu,kiRathu,ukiRathu,RukiRathu,ukiRathu,ukiRathu
,kiRathu,zukiRathu,sAkukiRathu,dukiRathu,RukiRathu,kiRathu,zukiRathu,kiRathu,wOkukiRathu,arukiRathu,lkiRathu,LkiRathu,lkiRathu,LkiRathu,ukiRathu,lkiRathu,kiRathu,RkiRathu,dkiRathu,kiRathu,NukiRathu,kANkiRathu,kiRathu,RkiRathu,kkinRathu,kkiRathu,kiRathu,kiRathu,ukiRathu,RukiRathu,ukiRathu,ukiRathu
,kiRathu,zukiRathu,sAkukiRathu,dukiRathu,RukiRathu,kiRathu,zukiRathu,kiRathu,wOkukiRathu,arukiRathu,lkiRathu,LkiRathu,lkiRathu,LkiRathu,ukiRathu,lkiRathu,kiRathu,RkiRathu,dkiRathu,kiRathu,NukiRathu,kANkiRathu,kiRathu,RkiRathu,kkinRathu,kkiRathu,kiRathu,kiRathu,ukiRathu,RukiRathu,ukiRathu,ukiRathu
,pavan,zupavan,sAkupavan,dupavan,Rupavan,pavan,zupavan,pavan,wOkupavan,arupavan,lpavan,Lpavan,lpavan,Lpavan,upavan,lpavan,kupavan,Rpavan,dpavan,pavan,Nupavan,kANpavan,pavan,Rpavan,ppavan,ppavan,pavan,pavan,upavan,Rupavan,upavan,uvavan
,pavaL,zupavaL,sAkupavaL,dupavaL,RupavaL,pavaL,zupavaL,pavaL,wOkupavaL,arupavaL,lpavaL,LpavaL,lpavaL,LpavaL,upavaL,lpavaL,kupavaL,RpavaL,dpavaL,pavaL,NupavaL,kANpavaL,pavaL,RpavaL,ppavaL,ppavaL,pavaL,pavaL,upavaL,RupavaL,upavaL,uvavaL
,pavar,zupavar,sAkupavar,dupavar,Rupavar,pavar,zupavar,pavar,wOkupavar,arupavar,lpavar,Lpavar,lpavar,Lpavar,upavar,lpavar,kupavar,Rpavar,dpavar,pavar,Nupavar,kANpavar,pavar,Rpavar,ppavar,ppavar,pavar,pavar,upavar,Rupavar,upavar,uvavar
,yAthavan,zAthavan,sAkAthavan,dAthavan,RAthavan,Athavan,zAthavan,yAthavan,wOkAthavan,arAthavan,lAthavan,LAthavan,LLAthavan,LLAthavan,Athavan,llAthavan,kAthavan,llAthavan,dkAthavan,Athavan,NAthavan,kANAthavan,nAthavan,RkAthavan,kkAthavan,kkAthavan,Athavan,Athavan,Athavan,Athavan,Athavan,ukAthavan
,yAthavaL,zAthavaL,sAkAthavaL,dAthavaL,RAthavaL,AthavaL,zAthavaL,yAthavaL,wOkAthavaL,arAthavaL,lAthavaL,LAthavaL,llAthavaL,LlAthavaL,AthavaL,llAthavaL,kAthavaL,llAthavaL,dkAthavaL,AthavaL,NAthavaL,kANAthavaL,nAthavaL,RkAthavaL,kkAthavaL,kkAthavaL,AthavaL,AthavaL,AthavaL,AthavaL,AthavaL,ukAthavaL
,yAthavar,zAthavar,sAkAthavar,dAthavar,RAthavar,Athavar,zAthavar,yAthavar,wOkAthavar,arAthavar,lAthavar,LAthavar,llAthavar,LlAthavar,Athavar,llAthavar,kAthavar,llAthavar,dkAthavar,Athavar,NAthavar,kANAthavar,nAthavar,RkAthavar,kkAthavar,kkAthavar,Athavar,Athavar,Athavar,Athavar,Athavar,ukAthavar
,yAthathu,zAthathu,sAkAthathu,dAthathu,RAthathu,Athathu,zAthathu,yAthathu,wOkAthathu,arAthathu,lAthathu,LAthathu,llAthathu,LlAthathu,Athathu,llAthathu,kAthathu,llAthathu,dkAthathu,Athathu,NAthathu,kANAthathu,nAthathu,RkAthathu,kkAthathu,kkAthathu,Athathu,Athathu,Athathu,Athathu,Athathu,ukAthathu
,thavai,zuthavai,seththvai,ddavai,RRavai,wthavai,zuwthavai,wthavai,wowthavai,arAthavai,nRavai,Ndavai,nRavai,Ndavai,iyavai,nnavai,navai,RRavai,ddavai,davai,davai,kaNdavai,Ravai,nRavai,ththavai,wthavai,Ravai,Ravai,iyavai,Ravai,iRavai,uwthavai
,yAthana,zAthana,sAkAthana,dAthana,RAthavai,Athana,zAthana,yAthana,wOkAthana,arAthana,lkiRathu,LkiRathu,lkiRathu,LkiRathu,ukiRathu,lkiRathu,kiRathu,RkiRathu,dkiRathu,kiRathu,NukiRathu,kANkiRathu,kiRathu,RkiRathu,kkAthana,kkiRathu,kiRathu,kiRathu,ukiRathu,RukiRathu,ukiRathu,ukiRathu
,thu,zuthu,seththu,ddu,RRu,wthu,zuwthu,wthu,wOku,awthu,nRu,Ndu,llu,LLu,uthu,llu,nathu,RRu,ddu,du,du,kaNdu,nu,nRu,ththu,wthu,u,u,uthu,Ruthu,u,uwthu
,ya,za,sAka,da,Ra,a,za,ya,wOka,ara,la,La,lla,LLa,iya,lla,ka,Rka,dda,Na,Na,kANa,na,Rka,kka,kka,a,a,iya,a,a,a
,yAthu,zAthu,sAkAthu,dAthu,RAthu,Athu,zAthu,yAthu,wOkAthu,arAthu,lAthu,LAthu,llAthathu,LlAthathu,Athu,llAthu,kAthu,llAthu,dkAthu,Athu,NAthu,kANAthu,nAthu,RkAthu,kkAthu,kAthu,Athu,Athu,Athu,RAthu,Athu,Athu
,yAthu,zAthu,sAkAthu,dAthu,RAthu,Athu,zAthu,yAthu,wOkAthu,arAthu,lAthu,LAthu,llAthathu,LlAthathu,Athu,llAthu,kAthu,llAthu,dkAthu,Athu,NAthu,kANAthu,nAthu,RkAthu,kkAthu,kAthu,Athu,Athu,Athu,RAthu,Athu,Athu
,yAmal,zAmal,sAkAmal,dAmal,RAmal,Amal,zAmal,yAmal,wOkAmal,arAmal,lAmal,LAmal,llAmal,LlAmal,Amal,llAmal,kAmal,llAmal,dkAmal,Amal,NAmal,kANAmal,nAmal,RkAmal,kkAmal,kkAmal,Amal,Amal,Amal,RAmal,Amal,Amal
,thal,zuthal,sAthal,duthal,Ruthal,thal,zuthal,thal,wOkuthal,aruthal,lthal,Lthal,lluthal,Lluthal,uthal,lluthal,kuthal,RRal,ddal,uthal,Nuthal,kANuthal,nuthal,RRal,ththal,ththal,nuthal,uthal,uthal,Ruthal,uthal,uththal
,yal,zal,sAkal,dal,Ral,al,zal,yal,wOkal,aral,lal,Lal,llal,LLal,al,llal,kal,llal,ddal,al,Nal,kANal,Ral,llal,yal,ththal,Ral,Ral,al,Ral,uthal,uthal
,kai,zukai,sAkai,dukai,Rukai,kai,zukai,kai,wOkukai,arukai,lkai,Lkai,lkai,Lkai,ukai,lkai,kai,Rkai,dkai,kai,Nukai,kANkai,kai,Rkai,kkai,kkai,kai,kai,ukai,Rukai,ukai,ukai
,yAmai,zAmai,sAkAmai,dAmai,RAmai,Amai,zAmai,yAmai,wOkAmai,arAmai,lAmai,LAmai,llAmai,LLAmai,Amai,llAmai,kAmai,llAmai,dkAmai,Amai,NAmai,kANAmai,nAmai,llAmai,kkAmai,kkAmai,Amai,Amai,Amai,RAmai,Amai,Amai
